X (ms);C0:2169[0];C1:2521[0];C2:70[0];C3:80[0]
55,125000;462,117767;366733,000000;582,750000;-3613,994385
55,312500;461,122650;366733,000000;583,099976;-3643,837646
55,500000;460,421295;366733,000000;582,800049;-3688,458008
55,687500;459,438293;374362,000000;583,250000;-3676,134033
55,875000;458,662750;374362,000000;584,950012;-3709,808105
56,062500;457,787628;374362,000000;586,500000;-3693,095947
56,250000;456,951263;374362,000000;585,800049;-3714,507080
56,437500;455,933502;374362,000000;584,550049;-3587,208740
56,625000;455,091187;374362,000000;585,950012;-3516,195068
56,812500;454,375641;381911,000000;588,849976;-3608,245605
57,000000;453,330353;381911,000000;589,150024;-3633,902344
57,187500;452,639404;381911,000000;587,750000;-3682,281006
57,375000;451,522247;381911,000000;587,500000;-3571,539795
57,562500;450,862091;381911,000000;588,250000;-3560,855713
57,750000;449,810425;389388,000000;589,700012;-3574,758789
57,937500;449,111664;389388,000000;585,450012;-3612,634277
58,125000;448,084167;389388,000000;592,000000;-3617,246826
58,312500;447,288330;389388,000000;590,050049;-3649,618164
58,500000;446,321075;389388,000000;591,900024;-3641,768555
58,687500;445,576721;396784,000000;592,550049;-3612,978271
58,875000;444,649750;396784,000000;589,700012;-3684,106934
59,062500;444,004517;396784,000000;589,849976;-3756,060303
59,250000;442,911591;396784,000000;590,000000;-3583,327881
59,437500;442,221588;396784,000000;590,100037;-3734,005371
59,625000;441,276855;396784,000000;587,900024;-3761,972412
59,812500;440,571014;404106,000000;588,800049;-3624,212158
60,000000;439,509033;404106,000000;589,300049;-3796,196533
60,187500;438,669586;404106,000000;591,500000;-3772,280029
60,375000;437,845520;404106,000000;590,800049;-3694,063965
60,562500;437,022400;404106,000000;591,099976;-3725,155762
60,750000;436,292633;411352,000000;591,599976;-3699,461914
60,937500;435,257721;411352,000000;595,900024;-3673,656494
61,125000;434,692535;411352,000000;591,800049;-3600,384277
61,312500;433,473663;411352,000000;593,500000;-3543,455322
61,500000;432,842255;411352,000000;594,000000;-3709,805908
61,687500;431,796448;418524,000000;593,550049;-3570,709473
